latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.61403,79.957,367,0.36,0.58,2022-03-24,0705,1,VIIRS,h,2.0NRT,303.35,8.79,D
28.79206,79.9635,331.67,0.36,0.57,2022-03-24,0705,1,VIIRS,n,2.0NRT,300.91,1.61,D
28.84846,79.94648,337.63,0.36,0.57,2022-03-24,0705,1,VIIRS,n,2.0NRT,301.48,2.4,D
28.84763,79.94289,332.92,0.36,0.57,2022-03-24,0705,1,VIIRS,n,2.0NRT,302.27,2.4,D
28.86965,79.8942,338.6,0.36,0.58,2022-03-24,0705,1,VIIRS,n,2.0NRT,300.07,5.67,D
28.66042,77.79952,331.86,0.49,0.65,2022-03-24,0705,1,VIIRS,n,2.0NRT,302.43,2.37,D
29.3551,79.28832,343.36,0.38,0.59,2022-03-24,0705,1,VIIRS,n,2.0NRT,301.16,4.05,D
29.38887,79.27434,331.43,0.38,0.59,2022-03-24,0705,1,VIIRS,n,2.0NRT,301.12,2.51,D
29.52935,79.69786,328.55,0.36,0.57,2022-03-24,0705,1,VIIRS,l,2.0NRT,299.15,2.86,D
28.41868,79.92165,332.72,0.37,0.58,2022-03-24,0705,1,VIIRS,n,2.0NRT,300.21,3.79,D
29.67305,79.35035,330.22,0.38,0.58,2022-03-24,0705,1,VIIRS,n,2.0NRT,297.88,2.75,D
28.9949,76.35761,346.77,0.58,0.7,2022-03-24,0705,1,VIIRS,n,2.0NRT,301.82,8.05,D
29.45536,76.86613,367,0.53,0.67,2022-03-24,0705,1,VIIRS,h,2.0NRT,301.61,18.27,D
29.72617,77.64744,335.01,0.47,0.64,2022-03-24,0705,1,VIIRS,n,2.0NRT,299.08,3.51,D
29.76565,77.78017,335.18,0.46,0.64,2022-03-24,0705,1,VIIRS,n,2.0NRT,300.77,3.31,D
29.72549,77.64699,334.95,0.47,0.64,2022-03-24,0705,1,VIIRS,n,2.0NRT,298.66,4.08,D
29.7658,77.77931,336.17,0.46,0.64,2022-03-24,0705,1,VIIRS,n,2.0NRT,300.93,3.91,D
26.42691,79.79826,335.34,0.68,0.74,2022-03-24,0845,1,VIIRS,n,2.0NRT,299.55,4,D
28.45391,79.97808,331.59,0.72,0.76,2022-03-24,0845,1,VIIRS,n,2.0NRT,297.72,8.93,D
28.45201,79.97678,331.28,0.72,0.76,2022-03-24,0845,1,VIIRS,n,2.0NRT,298.15,10.09,D
28.72656,77.12125,331.34,0.49,0.65,2022-03-24,0845,1,VIIRS,n,2.0NRT,303.11,9.81,D
28.73257,77.12081,367,0.49,0.65,2022-03-24,0845,1,VIIRS,h,2.0NRT,305.02,9.81,D
28.72886,77.12273,367,0.49,0.65,2022-03-24,0845,1,VIIRS,h,2.0NRT,302.46,13.68,D
28.72856,77.11768,351.76,0.49,0.65,2022-03-24,0845,1,VIIRS,n,2.0NRT,305.17,12.41,D
29.45742,76.87345,367,0.48,0.64,2022-03-24,0845,1,VIIRS,h,2.0NRT,300.11,21.48,D
29.45709,76.86848,347.35,0.48,0.64,2022-03-24,0845,1,VIIRS,n,2.0NRT,304.04,21.48,D
29.45455,76.87166,333.9,0.48,0.64,2022-03-24,0845,1,VIIRS,n,2.0NRT,301.23,23.47,D
29.46051,76.87119,367,0.48,0.64,2022-03-24,0845,1,VIIRS,h,2.0NRT,301.45,23.47,D
29.46021,76.86623,333.16,0.48,0.64,2022-03-24,0845,1,VIIRS,n,2.0NRT,300.88,24.24,D
29.75617,79.69917,300.63,0.4,0.6,2022-03-24,2110,1,VIIRS,n,2.0NRT,284.71,0.85,N
29.46156,76.86526,320.61,0.55,0.51,2022-03-24,2110,1,VIIRS,n,2.0NRT,292.25,5.03,N
29.46033,76.87077,334.78,0.55,0.51,2022-03-24,2110,1,VIIRS,n,2.0NRT,292.11,5.66,N
28.40425,76.70613,310.74,0.57,0.52,2022-03-24,2110,1,VIIRS,n,2.0NRT,288.56,1.61,N
28.03518,77.18362,309.78,0.62,0.54,2022-03-24,2110,1,VIIRS,n,2.0NRT,290.83,1.92,N
28.03641,77.18884,308.08,0.62,0.54,2022-03-24,2110,1,VIIRS,n,2.0NRT,290.41,1.37,N
27.67011,76.12918,305.07,0.54,0.51,2022-03-24,2110,1,VIIRS,n,2.0NRT,292.61,1.21,N
28.6782,79.43649,333.79,0.74,0.76,2022-03-25,0646,1,VIIRS,n,2.0NRT,302.13,5.4,D
27.47304,76.00329,354.71,0.41,0.45,2022-03-25,0826,1,VIIRS,n,2.0NRT,314.54,14.04,D
28.37119,79.95293,335.15,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.37,3.46,D
28.37088,79.94914,330.62,0.37,0.58,2022-03-25,0826,1,VIIRS,l,2.0NRT,303.9,3.46,D
28.37058,79.94537,354.06,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,305.24,4.14,D
28.37028,79.94165,330.1,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.68,4.14,D
28.38187,79.9519,345.77,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,305.42,4.47,D
28.40543,79.97634,339.76,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.8,6.43,D
28.41141,79.98342,341.68,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.81,4.29,D
28.4218,79.97864,346.05,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,305.64,3.39,D
28.40944,79.98406,340.49,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.85,3.47,D
28.40887,79.97647,335.07,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.25,6.57,D
28.40858,79.97269,335.67,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.91,3.87,D
28.41987,79.97926,332.62,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,305.06,1.63,D
28.42522,79.97872,334.65,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.11,2.15,D
28.44217,79.98854,347.75,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,303.78,3.62,D
28.44694,79.98045,345.61,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.96,4.37,D
28.55222,79.9754,339.53,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,302.65,4.43,D
28.55847,79.98632,347.51,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,303.02,3.44,D
28.55817,79.98252,334.85,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,302.1,3.44,D
28.55788,79.97871,345.34,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,302.3,4.43,D
28.55758,79.97491,352.34,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,303.28,4.43,D
28.41883,78.05931,340.75,0.56,0.52,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.94,4.3,D
28.66451,79.98847,367,0.37,0.58,2022-03-25,0826,1,VIIRS,h,2.0NRT,304.53,11.22,D
28.66421,79.98464,336.94,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,302.96,8.92,D
28.73879,79.96998,334.44,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,305.16,1.96,D
28.73624,79.96963,330.43,0.37,0.58,2022-03-25,0826,1,VIIRS,l,2.0NRT,305.13,1,D
28.78487,79.96874,330.15,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,304.59,1.94,D
28.79024,79.96821,335.55,0.37,0.58,2022-03-25,0826,1,VIIRS,n,2.0NRT,302.7,1.94,D
29.32118,79.24977,332.17,0.34,0.56,2022-03-25,0828,1,VIIRS,l,2.0NRT,303.34,3.26,D
29.3021,78.88413,332.06,0.32,0.55,2022-03-25,0828,1,VIIRS,n,2.0NRT,303.87,1.74,D
29.43213,79.11512,351.62,0.33,0.56,2022-03-25,0828,1,VIIRS,n,2.0NRT,304.36,2.67,D
29.43185,79.11172,330.77,0.33,0.56,2022-03-25,0828,1,VIIRS,l,2.0NRT,303.18,2.67,D
29.43699,79.11127,333.99,0.33,0.56,2022-03-25,0828,1,VIIRS,l,2.0NRT,304.2,4.99,D
29.39619,78.00213,341.19,0.57,0.52,2022-03-25,0828,1,VIIRS,n,2.0NRT,303.14,15,D
29.55313,78.02762,332.02,0.58,0.52,2022-03-25,0828,1,VIIRS,l,2.0NRT,304.47,2,D
29.75355,79.69753,330.7,0.37,0.58,2022-03-25,0828,1,VIIRS,n,2.0NRT,299.23,5.74,D
29.74592,79.2641,331.49,0.34,0.56,2022-03-25,0828,1,VIIRS,l,2.0NRT,302.79,2.72,D
29.53679,76.65593,339.91,0.48,0.48,2022-03-25,0828,1,VIIRS,n,2.0NRT,304.63,4.89,D
29.81127,79.2299,340,0.34,0.56,2022-03-25,0828,1,VIIRS,n,2.0NRT,305.11,1.99,D
29.82036,78.92532,335.75,0.33,0.55,2022-03-25,0828,1,VIIRS,n,2.0NRT,304.5,4.43,D
29.91511,79.33298,330.81,0.35,0.57,2022-03-25,0828,1,VIIRS,l,2.0NRT,300.95,2.51,D
29.82831,79.94814,299.92,0.43,0.46,2022-03-25,2053,1,VIIRS,n,2.0NRT,286.62,0.92,N
29.83517,79.66644,295.71,0.42,0.45,2022-03-25,2053,1,VIIRS,n,2.0NRT,283.25,0.42,N
29.91,79.21712,295.87,0.39,0.44,2022-03-25,2053,1,VIIRS,n,2.0NRT,285.22,0.48,N
29.75449,79.71036,295.52,0.42,0.45,2022-03-25,2053,1,VIIRS,n,2.0NRT,284.9,0.95,N
29.82713,78.91636,297.52,0.57,0.43,2022-03-25,2053,1,VIIRS,n,2.0NRT,285.58,0.99,N
29.53686,79.86628,297.27,0.44,0.46,2022-03-25,2053,1,VIIRS,n,2.0NRT,286.42,0.36,N
29.68622,78.27448,300.99,0.53,0.42,2022-03-25,2053,1,VIIRS,n,2.0NRT,286.87,0.4,N
